"Measurement","Unit","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Electricity generation implied emission factor","kt CO2-e/GWh",0.12,0.13,0.17,0.13,0.11,0.09,0.12,0.17,0.13,0.17,0.15,0.19,0.16,0.2,0.18,0.23,0.22,0.18,0.21,0.17,0.14,0.13,0.17,0.14,0.12,0.11,0.09,0.1,0.1
"Electricity consumption implied emission factor","kt CO2-e/GWh",0.13,0.14,0.19,0.15,0.12,0.11,0.14,0.19,0.15,0.18,0.17,0.2,0.18,0.21,0.19,0.24,0.23,0.19,0.23,0.18,0.15,0.14,0.18,0.15,0.13,0.12,0.1,0.11,0.11
"Total Emissions","kt CO2-e",3785.63,4208.63,5328.08,4445.54,3607.15,3327.15,4411.77,6283.18,4843.43,6084.39,5776.47,7166.71,6412.71,7717.5,7333.55,9346.27,9223.59,7594.52,9030.13,6996.36,6284.74,5764.78,7165.57,5938.05,5039.46,4878.23,3875.32,4411,4241.19
"Combustion Emissions","kt CO2-e",3502.26,3916.74,5034.25,4135.53,3304.4,3031.67,4007.97,5935.3,4406.86,5676.58,5350.62,6829.47,6027.3,7376.58,6987.52,9014.29,8846.8,7251.17,8501.43,6251.55,5517.85,5007.77,6415.02,5189.78,4228.05,4026.34,3043.34,3596.23,3495.77
"Biomass Emissions","kt CO2-e",0.02,0.03,0.03,0.03,0.03,0.04,0.04,0.05,0.04,0.05,0.05,0.04,0.05,0.06,0.08,0.08,0.09,0.09,0.09,0.09,0.1,0.1,0.1,0.09,0.1,0.11,0.11,0.12,0.12
"Coal Emissions","kt CO2-e",477.09,222.25,888.03,433.67,378.36,555,608.41,1186.38,759.72,1105.56,892.09,1366.52,1370.55,3000.01,3929.06,4979.74,4709.03,2421.07,3997.48,2573.2,1288.5,1527.39,2710.9,1623.78,1221.93,1108.88,447.88,525.2,928.07
"Gas Emissions","kt CO2-e",3014.55,3671.75,3961.9,3645.91,2907.06,2431.32,3381.88,4748.8,3644.24,4570.92,4458.48,5462.91,4656.7,4358.81,3037.24,4031.36,4120.59,4828.85,4403.8,3670.79,4227.59,3478.82,3700.67,3562.1,3003.84,2915.84,2593.31,3068.04,2562.65
"Geothermal Emissions","kt CO2-e",283.37,291.89,293.83,310.01,302.75,295.48,403.79,347.88,436.56,407.81,425.85,337.25,385.42,340.92,346.03,331.97,376.79,343.36,528.7,744.8,766.89,757.01,750.55,748.28,811.41,851.9,831.98,814.77,745.42
"Liquid Fuels Emissions","kt CO2-e",10.6,22.72,184.3,55.92,18.94,45.31,17.64,0.08,2.86,0.05,0.01,0,0,17.7,21.15,3.12,17.09,1.16,100.06,7.47,1.67,1.45,3.36,3.81,2.17,1.51,2.04,2.86,4.93
"Annual Generation","GWh",31459.42,32409.76,31936.38,33358.17,34025.9,35249.68,35560.02,35993.09,36579.3,36643.22,38068.67,38218.35,39384.2,39434.31,41439.96,41438.42,41970.82,42322.87,42303.61,42063.7,43405.06,43033.34,42789.81,41869.51,42185.85,42822.66,42371.38,42836.85,42900.89
"Annual Consumption","GWh",28870.2,29317.18,28780.26,29929.86,30517.05,31144.2,32005.11,33039.06,33202.08,33928.67,34697.21,35375.64,36194.59,36366.5,37866.25,38407.26,39256.38,39554.07,39198.54,39273.13,40653.9,40316.46,39868.93,39501.3,39837.86,40354.97,39598.72,39659.78,39432.7
