city,country,population,continent
KABUL,AFGHANISTAN,3277000,ASIA
KANDAHĀR,AFGHANISTAN,715542,ASIA
JALĀLĀBĀD,AFGHANISTAN,597971,ASIA
HERĀT,AFGHANISTAN,481009,ASIA
MAZĀR-E SHARĪF,AFGHANISTAN,458151,ASIA
KUNDUZ,AFGHANISTAN,259809,ASIA
BAGHLĀN,AFGHANISTAN,218748,ASIA
LASHKAR GĀH,AFGHANISTAN,201546,ASIA
MAĪMANAH,AFGHANISTAN,199795,ASIA
BALKH,AFGHANISTAN,179969,ASIA
GHAZNĪ,AFGHANISTAN,141000,ASIA
GARDĒZ,AFGHANISTAN,103601,ASIA
SHIBIRGHĀN,AFGHANISTAN,93241,ASIA
FARĀH,AFGHANISTAN,73647,ASIA
FAĪẔĀBĀD,AFGHANISTAN,64704,ASIA
TĀLUQĀN,AFGHANISTAN,64256,ASIA
BĀMYĀN,AFGHANISTAN,61863,ASIA
PUL-E KHUMRĪ,AFGHANISTAN,56369,ASIA
CHĀRĪKĀR,AFGHANISTAN,53676,ASIA
ZARANJ,AFGHANISTAN,49851,ASIA
ASADĀBĀD,AFGHANISTAN,48400,ASIA
AĪBAK,AFGHANISTAN,24000,ASIA
MEHTAR LĀM,AFGHANISTAN,17345,ASIA
FAYRŌZ KŌH,AFGHANISTAN,15000,ASIA
QALĀT,AFGHANISTAN,12191,ASIA
TARĪN KŌṮ,AFGHANISTAN,10000,ASIA
MAḨMŪD-E RĀQĪ,AFGHANISTAN,7407,ASIA
QAL‘AH-YE NOW,AFGHANISTAN,2997,ASIA
ANDKHŌY,AFGHANISTAN,71730,ASIA
KŌṮAH-YE ‘AS̲H̲RŌ,AFGHANISTAN,35008,ASIA
BARAKĪ BARAK,AFGHANISTAN,22305,ASIA
KARUKH,AFGHANISTAN,17484,ASIA
ZARGHŪN SHAHR,AFGHANISTAN,13737,ASIA
TIRANA,ALBANIA,895350,EUROPE
ELBASAN,ALBANIA,165010,EUROPE
SHKODËR,ALBANIA,155767,EUROPE
DURRËS,ALBANIA,142432,EUROPE
VLORË,ALBANIA,89546,EUROPE
FIER,ALBANIA,82297,EUROPE
KORÇË,ALBANIA,58259,EUROPE
BERAT,ALBANIA,46866,EUROPE
GJIROKASTËR,ALBANIA,23437,EUROPE
LEZHË,ALBANIA,18695,EUROPE
KUKËS,ALBANIA,17832,EUROPE
PESHKOPI,ALBANIA,14848,EUROPE
LUSHNJË,ALBANIA,41469,EUROPE
POGRADEC,ALBANIA,40000,EUROPE
KRUJË,ALBANIA,21286,EUROPE
BURREL,ALBANIA,15405,EUROPE
SARANDË,ALBANIA,15147,EUROPE
ÇOROVODË,ALBANIA,14046,EUROPE
LIBRAZHD,ALBANIA,12691,EUROPE
TEPELENË,ALBANIA,11955,EUROPE
GRAMSH,ALBANIA,11556,EUROPE
PËRMET,ALBANIA,10686,EUROPE
RRËSHEN,ALBANIA,10064,EUROPE
ERSEKË,ALBANIA,7890,EUROPE
BAJRAM CURRI,ALBANIA,7967,EUROPE
PUKË,ALBANIA,6495,EUROPE
ALGIERS,ALGERIA,3354000,AFRICA
ORAN,ALGERIA,798000,AFRICA
CONSTANTINE,ALGERIA,605179,AFRICA
BLIDA,ALGERIA,511348,AFRICA
ANNABA,ALGERIA,503524,AFRICA
CHLEF,ALGERIA,449167,AFRICA
BEJAÏA,ALGERIA,384937,AFRICA
BATNA,ALGERIA,280798,AFRICA
SÉTIF,ALGERIA,274744,AFRICA
TLEMCEN,ALGERIA,229777,AFRICA
SKIKDA,ALGERIA,225181,AFRICA
SIDI BEL ABBÈS,ALGERIA,208604,AFRICA
BISKRA,ALGERIA,202103,AFRICA
MOSTAGANEM,ALGERIA,188354,AFRICA
TIARET,ALGERIA,184195,AFRICA
EL OUED,ALGERIA,177497,AFRICA
OUARGLA,ALGERIA,176271,AFRICA
TÉBESSA,ALGERIA,171742,AFRICA
DJELFA,ALGERIA,170901,AFRICA
M’SILA,ALGERIA,150000,AFRICA
JIJEL,ALGERIA,148000,AFRICA
MÉDÉA,ALGERIA,147707,AFRICA
TIZI OUZOU,ALGERIA,144000,AFRICA
BÉCHAR,ALGERIA,143382,AFRICA
SAÏDA,ALGERIA,142213,AFRICA
BORDJ BOU ARRERIDJ,ALGERIA,140000,AFRICA
SOUK AHRAS,ALGERIA,134947,AFRICA
TOUGGOURT,ALGERIA,133954,AFRICA
GHARDAÏA,ALGERIA,125480,AFRICA
GUELMA,ALGERIA,123590,AFRICA
LAGHOUAT,ALGERIA,113872,AFRICA
BOUIRA,ALGERIA,110144,AFRICA
MASCARA,ALGERIA,108230,AFRICA
OUM EL BOUAGHI,ALGERIA,100821,AFRICA
TAMANRASSET,ALGERIA,76000,AFRICA
EL BAYADH,ALGERIA,67413,AFRICA
ADRAR,ALGERIA,56910,AFRICA
TINDOUF,ALGERIA,18270,AFRICA
ILLIZI,ALGERIA,7957,AFRICA
AÏN SEFRA,ALGERIA,63420,AFRICA
TIMIMOUN,ALGERIA,49237,AFRICA
I-N-SALAH,ALGERIA,49223,AFRICA
REGGANE,ALGERIA,32974,AFRICA
EL GOLEA,ALGERIA,32049,AFRICA
HASSI MESSAOUD,ALGERIA,18124,AFRICA
ABADLA,ALGERIA,14364,AFRICA
BENI OUNIF,ALGERIA,5628,AFRICA
I-N-AMGUEL,ALGERIA,3030,AFRICA
DJANET,ALGERIA,666,AFRICA
I-N-AMENAS,ALGERIA,216,AFRICA
PAGO PAGO,AMERICAN SAMOA,12576,
ANDORRA LA VELLA,ANDORRA,53998,EUROPE
LUANDA,ANGOLA,5172900,AFRICA
HUAMBO,ANGOLA,1100000,AFRICA
LOBITO,ANGOLA,207932,AFRICA
BENGUELA,ANGOLA,151226,AFRICA
NAMIBE,ANGOLA,132900,AFRICA
MALANJE,ANGOLA,125856,AFRICA
LUBANGO,ANGOLA,125632,AFRICA
CUITO,ANGOLA,114286,AFRICA
CABINDA,ANGOLA,91791,AFRICA
MBANZA CONGO,ANGOLA,60182,AFRICA
UÍGE,ANGOLA,60008,AFRICA
SAURIMO,ANGOLA,41316,AFRICA
SUMBE,ANGOLA,33277,AFRICA
CAXITO,ANGOLA,28224,AFRICA
LUENA,ANGOLA,21115,AFRICA
MENONGUE,ANGOLA,13030,AFRICA
DUNDO,ANGOLA,11985,AFRICA
ONDJIVA,ANGOLA,10169,AFRICA
N’DALATANDO,ANGOLA,8144,AFRICA
CAPENDA CAMULEMBA,ANGOLA,80000,AFRICA
SOIO,ANGOLA,67491,AFRICA
TÔMBUA,ANGOLA,40000,AFRICA
LUCAPA,ANGOLA,31041,AFRICA
MAVINGA,ANGOLA,30000,AFRICA
NZETO,ANGOLA,21059,AFRICA
CAMACUPA,ANGOLA,19828,AFRICA
LUAU,ANGOLA,18465,AFRICA
AMBRIZ,ANGOLA,17000,AFRICA
CAMABATELA,ANGOLA,12837,AFRICA
UACU CUNGO,ANGOLA,12069,AFRICA
SONGO,ANGOLA,10579,AFRICA
QUIBALA,ANGOLA,8915,AFRICA
CUBAL,ANGOLA,4837,AFRICA
DONDO,ANGOLA,2353,AFRICA
MUCONDA,ANGOLA,2324,AFRICA
CHIBEMBA,ANGOLA,1502,AFRICA
CHIBIA,ANGOLA,1411,AFRICA
CANGAMBA,ANGOLA,1307,AFRICA
CACOLO,ANGOLA,984,AFRICA
CALULO,ANGOLA,795,AFRICA
CALENGA,ANGOLA,531,AFRICA
CHITADO,ANGOLA,500,AFRICA
XANGONGO,ANGOLA,447,AFRICA
CAZOMBO,ANGOLA,298,AFRICA
QUIPUNGO,ANGOLA,186,AFRICA
LUIANA,ANGOLA,150,AFRICA
CUITO CUANAVALE,ANGOLA,149,AFRICA
MUCUSSO,ANGOLA,100,AFRICA
SAINT JOHN’S,ANTIGUA AND BARBUDA,35499,NORTH AMERICA
BUENOS AIRES,ARGENTINA,12795000,SOUTH AMERICA
CÓRDOBA,ARGENTINA,1452000,SOUTH AMERICA
ROSARIO,ARGENTINA,1203000,SOUTH AMERICA
MENDOZA,ARGENTINA,893000,SOUTH AMERICA
SAN MIGUEL DE TUCUMÁN,ARGENTINA,830000,SOUTH AMERICA
LA PLATA,ARGENTINA,694253,SOUTH AMERICA
MAR DEL PLATA,ARGENTINA,555897,SOUTH AMERICA
SALTA,ARGENTINA,512686,SOUTH AMERICA
SANTA FE,ARGENTINA,489505,SOUTH AMERICA
SAN JUAN,ARGENTINA,447048,SOUTH AMERICA
SAN LUIS,ARGENTINA,432310,SOUTH AMERICA
RESISTENCIA,ARGENTINA,387158,SOUTH AMERICA
POSADAS,ARGENTINA,357119,SOUTH AMERICA
SANTIAGO DEL ESTERO,ARGENTINA,354692,SOUTH AMERICA
CORRIENTES,ARGENTINA,340823,SOUTH AMERICA
SAN SALVADOR DE JUJUY,ARGENTINA,305891,SOUTH AMERICA
BAHÍA BLANCA,ARGENTINA,281536,SOUTH AMERICA
PARANÁ,ARGENTINA,262295,SOUTH AMERICA
NEUQUÉN,ARGENTINA,242092,SOUTH AMERICA
FORMOSA,ARGENTINA,221383,SOUTH AMERICA
SAN FERNANDO DEL VALLE DE CATAMARCA,ARGENTINA,188812,SOUTH AMERICA
LA RIOJA,ARGENTINA,162620,SOUTH AMERICA
RÍO CUARTO,ARGENTINA,153757,SOUTH AMERICA
CONCORDIA,ARGENTINA,145210,SOUTH AMERICA
COMODORO RIVADAVIA,ARGENTINA,140850,SOUTH AMERICA
SAN NICOLÁS DE LOS ARROYOS,ARGENTINA,127742,SOUTH AMERICA
SAN MARTÍN,ARGENTINA,117399,SOUTH AMERICA
SANTA ROSA,ARGENTINA,111424,SOUTH AMERICA
SAN RAFAEL,ARGENTINA,109163,SOUTH AMERICA
TANDIL,ARGENTINA,104325,SOUTH AMERICA
RÍO GALLEGOS,ARGENTINA,85700,SOUTH AMERICA
VIEDMA,ARGENTINA,59122,SOUTH AMERICA
USHUAIA,ARGENTINA,58028,SOUTH AMERICA
RAWSON,ARGENTINA,26335,SOUTH AMERICA
SAN CARLOS DE BARILOCHE,ARGENTINA,95394,SOUTH AMERICA
TRELEW,ARGENTINA,93442,SOUTH AMERICA
VILLA MARÍA,ARGENTINA,92453,SOUTH AMERICA
RECONQUISTA,ARGENTINA,90184,SOUTH AMERICA
ZÁRATE,ARGENTINA,88781,SOUTH AMERICA
RAFAELA,ARGENTINA,88713,SOUTH AMERICA
PERGAMINO,ARGENTINA,87652,SOUTH AMERICA
OLAVARRÍA,ARGENTINA,86320,SOUTH AMERICA
JUNÍN,ARGENTINA,85007,SOUTH AMERICA
PRESIDENCIA ROQUE SÁENZ PEÑA,ARGENTINA,81879,SOUTH AMERICA
LUJÁN,ARGENTINA,81749,SOUTH AMERICA
CAMPANA,ARGENTINA,81612,SOUTH AMERICA
NECOCHEA,ARGENTINA,80478,SOUTH AMERICA
GUALEGUAYCHÚ,ARGENTINA,78676,SOUTH AMERICA
SAN RAMÓN DE LA NUEVA ORÁN,ARGENTINA,74059,SOUTH AMERICA
GENERAL ROCA,ARGENTINA,73212,SOUTH AMERICA
VENADO TUERTO,ARGENTINA,72340,SOUTH AMERICA
GOYA,ARGENTINA,72304,SOUTH AMERICA
VILLA CARLOS PAZ,ARGENTINA,69451,SOUTH AMERICA
CONCEPCIÓN DEL URUGUAY,ARGENTINA,67895,SOUTH AMERICA
LAS HERAS,ARGENTINA,66663,SOUTH AMERICA
PUERTO MADRYN,ARGENTINA,64555,SOUTH AMERICA
TARTAGAL,ARGENTINA,60819,SOUTH AMERICA
SAN FRANCISCO,ARGENTINA,59062,SOUTH AMERICA
SAN PEDRO,ARGENTINA,58430,SOUTH AMERICA
PUNTA ALTA,ARGENTINA,57209,SOUTH AMERICA
GENERAL PICO,ARGENTINA,57029,SOUTH AMERICA
CHIVILCOY,ARGENTINA,54514,SOUTH AMERICA
AZUL,ARGENTINA,53941,SOUTH AMERICA
RÍO TERCERO,ARGENTINA,53389,SOUTH AMERICA
MERCEDES,ARGENTINA,52949,SOUTH AMERICA
VILLA MERCEDES,ARGENTINA,49345,SOUTH AMERICA
LIBERTADOR GENERAL SAN MARTÍN,ARGENTINA,49267,SOUTH AMERICA
CUTRAL-CÓ,ARGENTINA,47814,SOUTH AMERICA
SAN LORENZO,ARGENTINA,47626,SOUTH AMERICA
TRES ARROYOS,ARGENTINA,47136,SOUTH AMERICA
VILLA CONSTITUCIÓN,ARGENTINA,44271,SOUTH AMERICA
ALTA GRACIA,ARGENTINA,40384,SOUTH AMERICA
BELL VILLE,ARGENTINA,35105,SOUTH AMERICA
NUEVE DE JULIO,ARGENTINA,34718,SOUTH AMERICA
CHACABUCO,ARGENTINA,34587,SOUTH AMERICA
GUALEGUAY,ARGENTINA,33120,SOUTH AMERICA
RÍO GRANDE,ARGENTINA,31095,SOUTH AMERICA
MERCEDES,ARGENTINA,30649,SOUTH AMERICA
VILLA ÁNGELA,ARGENTINA,30051,SOUTH AMERICA
CORONEL SUÁREZ,ARGENTINA,27000,SOUTH AMERICA
DOLORES,ARGENTINA,25190,SOUTH AMERICA
VICTORIA,ARGENTINA,25139,SOUTH AMERICA
LINCOLN,ARGENTINA,24798,SOUTH AMERICA
VEINTICINCO DE MAYO,ARGENTINA,24668,SOUTH AMERICA
TUNUYÁN,ARGENTINA,22834,SOUTH AMERICA
CHASCOMÚS,ARGENTINA,21054,SOUTH AMERICA
